"Step","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff__MIN","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff__MAX","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff__MIN","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff__MAX"
"1","0.8845806121826172","0.4732170104980469","1.2959442138671875","0.7491855621337891","0.4233741760253906","1.0749969482421875"
"3","0.8649177551269531","0.4613494873046875","1.2684860229492188","0.7243614196777344","0.4167213439941406","1.0320014953613281"
"5","0.8528861999511719","0.4607810974121094","1.2449913024902344","0.6577110290527344","0.349365234375","0.9660568237304688"
"7","0.8352813720703125","0.4547996520996094","1.2157630920410156","0.6162929534912109","0.31696319580078125","0.9156227111816406"
"9","0.8178691864013672","0.4493522644042969","1.1863861083984375","0.5698318481445312","0.2727470397949219","0.8669166564941406"
"11","0.8067188262939453","0.4441261291503906","1.1693115234375","0.5237503051757812","0.22903823852539062","0.8184623718261719"
"13","0.7920455932617188","0.44019317626953125","1.1438980102539062","0.49114990234375","0.20897674560546875","0.7733230590820312"
"15","0.7768745422363281","0.43618011474609375","1.1175689697265625","0.4422874450683594","0.15143966674804688","0.7331352233886719"
"17","0.7631549835205078","0.4316825866699219","1.0946273803710938","0.4067878723144531","0.12906646728515625","0.68450927734375"
"19","0.7494678497314453","0.4253349304199219","1.0736007690429688","0.37148475646972656","0.09984588623046875","0.6431236267089844"
"21","0.7332477569580078","0.4205741882324219","1.0459213256835938","0.3248157501220703","0.045749664306640625","0.6038818359375"
"23","0.7204647064208984","0.4174385070800781","1.0234909057617188","0.2794837951660156","0.01479339599609375","0.5441741943359375"
"25","0.7058830261230469","0.41222381591796875","0.999542236328125","0.24332618713378906","-0.02419281005859375","0.5108451843261719"
"27","0.6912708282470703","0.4056282043457031","0.9769134521484375","0.20652389526367188","-0.043712615966796875","0.4567604064941406"
"29","0.6778011322021484","0.40074920654296875","0.9548530578613281","0.1638946533203125","-0.09944915771484375","0.42723846435546875"
"31","0.6615047454833984","0.39388275146484375","0.9291267395019531","0.1300220489501953","-0.12519073486328125","0.3852348327636719"
"33","0.6546344757080078","0.3950386047363281","0.9142303466796875","0.10678672790527344","-0.1365966796875","0.3501701354980469"
"35","0.6399250030517578","0.3881797790527344","0.8916702270507812","0.06295013427734375","-0.17987442016601562","0.3057746887207031"
"37","0.6268692016601562","0.38295745849609375","0.8707809448242188","0.022289276123046875","-0.22067642211914062","0.2652549743652344"
"39","0.6163749694824219","0.38161468505859375","0.85113525390625","-0.015789031982421875","-0.24733734130859375","0.21575927734375"
"41","0.6043853759765625","0.3770332336425781","0.8317375183105469","-0.0482940673828125","-0.28061676025390625","0.18402862548828125"
"43","0.5854930877685547","0.3690376281738281","0.8019485473632812","-0.07581520080566406","-0.30487060546875","0.15324020385742188"
"45","0.5803966522216797","0.3686561584472656","0.7921371459960938","-0.10256576538085938","-0.32093048095703125","0.1157989501953125"
"47","0.5677013397216797","0.3653984069824219","0.7700042724609375","-0.1514720916748047","-0.37148284912109375","0.06853866577148438"
